날짜,제목,언론사,URL
2025.05.07 13:58,"코스피, 2560선에서 강보합… 원/달러 환율 1390원대 기록",머니S,https://finance.naver.com/item/news_read.naver?article_id=0001075271&office_id=417&code=012450&page=4&sm=
2025.05.07 13:39,"코스피, 외인·기관 매수 속 강세…코스닥은 하락",이데일리,https://finance.naver.com/item/news_read.naver?article_id=0006006913&office_id=018&code=012450&page=4&sm=
2025.05.07 11:43,"코스피, 기관·외인 ‘사자’에 2560선 강보합세",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001075011&office_id=366&code=012450&page=4&sm=
2025.05.07 11:25,"우리은행 “바르샤바점, 우크라 재건 지원”",헤럴드경제,https://finance.naver.com/item/news_read.naver?article_id=0002467510&office_id=016&code=012450&page=4&sm=
2025.05.07 11:25,"코스피, 장중 2,560대 제한적 상승…코스닥 낙폭 축소",연합뉴스,https://finance.naver.com/item/news_read.naver?article_id=0015372778&office_id=001&code=012450&page=4&sm=
2025.05.07 11:22,"코스피, 미중 협상 소식에 2570선 제한적 상승…코스닥은 하락",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128348&office_id=015&code=012450&page=4&sm=
2025.05.07 11:21,한화오션 美 'MRO' 효과…특수선 사업부 실적 좋아진다,뉴시스,https://finance.naver.com/item/news_read.naver?article_id=0013226049&office_id=003&code=012450&page=4&sm=
2025.05.07 10:56,美中 무역 협상 소식에도 코스피 상승세 ‘주춤’… 정치테마주 강세...,동아일보,https://finance.naver.com/item/news_read.naver?article_id=0003633329&office_id=020&code=012450&page=4&sm=
2025.05.07 10:40,‘목표가 100만원’…유럽 방위비 증가 수혜 기대 ‘한화에어로’ [오....,매경이코노미,https://finance.naver.com/item/news_read.naver?article_id=0000096963&office_id=024&code=012450&page=4&sm=
2025.05.07 10:26,'FOMC 경계감' 코스피 2570선 횡보..코스닥 하락 [fn오전시황...,파이낸셜뉴스,https://finance.naver.com/item/news_read.naver?article_id=0005345834&office_id=014&code=012450&page=5&sm=
2025.05.07 10:17,"[시황] 코스피, FOMC·의약품 관세 경계감에 관망세…코스닥 약보합",데일리안,https://finance.naver.com/item/news_read.naver?article_id=0002953100&office_id=119&code=012450&page=5&sm=
2025.05.07 10:07,"코스피, 소폭 상승 출발…FOMC·트럼프 관세 변수에 상단 제한",이코노미스트,https://finance.naver.com/item/news_read.naver?article_id=0000077501&office_id=243&code=012450&page=5&sm=
2025.05.07 10:01,"韓·美 조선 협력 본격화… 한화·HD현대, 美 조선소 확보 속도",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001074959&office_id=366&code=012450&page=5&sm=
2025.05.07 09:50,"코스피, 미중 무역협상 진행 소식에 상승 출발…환율은 1380원 개장",더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387607&office_id=629&code=012450&page=5&sm=
2025.05.07 09:45,[서울데이터랩]개장 직후 인기 검색 종목 20選,서울신문,https://finance.naver.com/item/news_read.naver?article_id=0003539272&office_id=081&code=012450&page=5&sm=
2025.05.07 09:44,"코스피, '미중 협상 개시' 소식에 상승 출발[개장시황]",뉴스1,https://finance.naver.com/item/news_read.naver?article_id=0008234103&office_id=421&code=012450&page=5&sm=
2025.05.07 09:30,"코스피, 2560선 강보합권 등락…환율 6개월만에 1380원선 [영상]",한국경제,https://finance.naver.com/item/news_read.naver?article_id=0005128272&office_id=015&code=012450&page=5&sm=
2025.05.07 09:20,연휴 끝나고 기지개 켠 코스피…항공·조선·방산 테마 '활짝',머니투데이,https://finance.naver.com/item/news_read.naver?article_id=0005190206&office_id=008&code=012450&page=5&sm=
2025.05.07 09:16,"연휴 끝난 코스피, 미중 무역협상 기대감에 2570선 출발",조선비즈,https://finance.naver.com/item/news_read.naver?article_id=0001074940&office_id=366&code=012450&page=5&sm=
2025.05.07 08:31,"[어제장 오늘장] 고령위, 다자녀 생활 혜택 강화…저출산 관련주 강세",SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000438980&office_id=374&code=012450&page=6&sm=
2025.05.07 08:15,"“美 RSF 핵심축으로” 함정 MRO 맡으며 기술력 '인정'…""앞으로 ...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482091&office_id=011&code=012450&page=6&sm=
2025.05.07 07:01,"美, 함정 이어 군용기 MRO도 韓 위탁 검토…관세협상 새 돌파구 되나...",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482062&office_id=011&code=012450&page=6&sm=
2025.05.07 06:45,"원전 수출 서명식 앞두고 날벼락…체코법원, 한수원 계약 제동",SBS Biz,https://finance.naver.com/item/news_read.naver?article_id=0000438944&office_id=374&code=012450&page=6&sm=
2025.05.07 06:31,"조선이냐, 방산이냐…올해 시총 증가율 1위 업종은 [줍줍리포트]",서울경제,https://finance.naver.com/item/news_read.naver?article_id=0004482052&office_id=011&code=012450&page=6&sm=
2025.05.07 06:01,"‘3인 3색’ 보험사 오너 3세, 경영 승계 시험대",한경비즈니스,https://finance.naver.com/item/news_read.naver?article_id=0000090404&office_id=050&code=012450&page=6&sm=
2025.05.07 00:01,[조선강국의 귀환<하>] 유례없는 호황기…'빅3' 전략과 과제는?,더팩트,https://finance.naver.com/item/news_read.naver?article_id=0000387550&office_id=629&code=012450&page=6&sm=
